data,sample,sattr,strategy,n_sg,anony_mode,info_loss,alpha_adm,alpha_dm,k,w,l,reset_w,calgo,enforcer_str,enforcer,enforcer_name,max_dist,t,algo,galgo,adm,dm,am,radm,num_anonymized_fake_entities,num_anonymized_real_entities,num_real_edges,num_fake_edges,num_raw_entities,num_anonymized_entities,num_raw_edges,num_anonymized_edges,anonymized_anonymity,anonymized_attribute_anonymity,anonymized_degree_anonymity,num_removed_entities,num_removed_edges
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,1,tanga,ad2,0.538832282752621,0.538666371845291,0.53899819365995,0.0099531888838873,4,418,220,2028,902,422,1702,2248,1,10,1,484,1482
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,3,tanga,ad2,0.639372664178625,0.639196875000001,0.639548453357248,0.0165420541648423,7,433,264,2356,1193,440,2685,2620,1,10,1,760,2421
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,8,tanga,ad2,0.588760829879014,0.588506443672258,0.589015216085769,0.0102127387001816,7,735,497,4598,1779,742,5128,5095,1,10,1,1044,4631
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,7,tanga,ad2,0.609759967977521,0.609542765022675,0.609977170932366,0.0111933189912253,7,656,388,3495,1673,663,4576,3883,1,10,1,1017,4188
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,4,tanga,ad2,0.625991327510404,0.625780245638202,0.626202409382609,0.0146367492020091,7,494,285,2568,1313,501,3146,2853,1,10,1,819,2861
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,2,tanga,ad2,0.591876756919824,0.591664467279611,0.592089046560038,0.0163570134459035,7,439,293,2565,1068,446,2212,2858,1,10,1,629,1919
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,0,tanga,ad2,0.1589312645454,0.158620077571076,0.159242451519723,0.0196604862751217,9,462,278,2668,540,471,847,2946,1,10,1,78,569
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,6,tanga,ad2,0.60427479904546,0.604036361830554,0.604513236260367,0.0120218179412732,7,613,361,3263,1541,620,4068,3624,1,10,1,928,3707
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,5,tanga,ad2,0.608568952410242,0.608356963734568,0.608780941085917,0.0128987473944764,7,564,322,2864,1433,571,3578,3186,1,10,1,869,3256
icews14,-1,MakeStatement,mean,10,all,adm,0.5,0.5,10,-1,4,-1,km,gs#0.00,gs,gs,0,9,tanga,ad2,0.596584564545203,0.596251916216827,0.596917212873582,0.0101835326118167,7,749,628,5763,1848,756,5594,6391,1,10,1,1099,4966
